Chatenet,CH26,2017,13125,3,2,6,Diesel,5cv,1461,Manual,ACIndependente,Usados,10750
BMW,X1,2010,229000,5,5,9,Diesel,177cv,1364,Manual,ACAutomático,Usados,18490
Mercedes-Benz,C200,2019,1400,4,5,9,Gasolina,184cv,1686,Manual,ACIndependente,Usados,35500
Mercedes-Benz,E220,2017,25000,4,5,7,Diesel,194cv,1199,Manual,ACAutomático,Usados,37000
Mercedes-Benz,A45AMG,2016,50000,5,5,7,Gasolina,381cv,2143,Automática,ACAutomático,Usados,42000
Mercedes-Benz,A45AMG,2016,47500,5,5,5,Gasolina,384cv,3000,Manual,ACAutomático,Usados,41900
Jaguar,XK,2000,160000,2,5,6,Gasolina,400cv,1600,Manual,ACIndependente,Usados,38750
Mercedes-Benz,CLA200,2015,90000,5,2,5,Diesel,156cv,1560,Manual,ACAutomático,Usados,25000
Nissan,Leaf,2019,64213,3,5,6,Eléctrico,150cv,1199,Manual,ACAutomático,Usados,23450
Smart,ForTwo,2009,82000,5,5,6,Gasolina,84cv,1461,Manual,ACAutomático,Usados,4850
Mercedes-Benz,C180,2019,17900,5,5,5,Diesel,122cv,1000,Manual,ACAutomático,Usados,36590
Mercedes-Benz,CLA200,2015,135000,3,5,5,Diesel,136cv,1598,Manual,ACAutomático,Usados,22890
Renault,Clio,1991,127000,3,5,7,Gasolina,80cv,1500,Manual,ACManual,Usados,2950
Mercedes-Benz,CL600,2000,165000,5,5,5,Gasolina,370cv,1968,Automática,ACAutomático,Usados,25000
Ford,Fiesta,2019,9470,5,5,6,Gasolina,100cv,492,Manual,ACManual,Usados,15500
Renault,ClioSportTourer,2019,4900,5,4,6,Gasolina,90cv,400,Manual,ACAutomático,Usados,12990
Mercedes-Benz,A160,2020,4780,5,5,5,Gasolina,109cv,505,Manual,ACManual,Usados,28490
Renault,Clio,2018,32000,5,7,5,Gasolina,90cv,523,Manual,ACManual,Usados,10490
Citroën,C3,2015,62000,5,5,6,Gasolina,82cv,1598,Manual,ACManual,Usados,8490
Mercedes-Benz,A180,2019,10000,3,5,5,Diesel,116cv,1991,Automática,ACManual,Usados,32490
Toyota,iQ,2010,133000,5,5,6,Gasolina,68cv,1995,Manual,ACManual,Usados,6990
BMW,116,2016,138611,5,4,6,Diesel,116cv,1496,Manual,ACAutomático,Usados,14280
BMW,X5,2016,39900,5,5,8,Diesel,313cv,1600,Manual,ACManual,Usados,64000
Citroën,C-Elysée,2013,53000,4,5,5,Diesel,92cv,1461,Manual,ACIndependente,Usados,8900
BMW,X2,2019,1500,5,5,6,Diesel,116cv,1364,Manual,ACAutomático,Usados,40900
BMW,X4,2019,16900,5,5,6,Diesel,190cv,1686,Manual,ACIndependente,Usados,59950
Volvo,V40,2015,135546,5,5,6,Diesel,115cv,1199,Manual,ACAutomático,Usados,13990
MINI,Clubman,2018,21500,6,5,5,Diesel,116cv,2143,Automática,ACAutomático,Usados,24000
Toyota,Avensis,2015,124000,4,5,6,Diesel,124cv,3000,Manual,ACAutomático,Usados,15900
MINI,Countryman,2019,15000,5,4,6,Diesel,116cv,1600,Manual,ACIndependente,Usados,27900
Peugeot,207,2011,88000,5,7,6,Diesel,68cv,1560,Manual,ACAutomático,Usados,7990
Peugeot,508SW,2012,168000,5,5,5,Diesel,112cv,1199,Manual,ACAutomático,Usados,10499
MINI,Cooper,2014,98800,5,6,5,Diesel,116cv,1461,Manual,ACAutomático,Usados,14900
SEAT,Alhambra,2004,182293,5,5,6,Diesel,130cv,1000,Manual,ACAutomático,Usados,9290
Renault,ClioSportTourer,2016,46359,5,5,6,Diesel,75cv,1598,Manual,ACAutomático,Usados,12990
Renault,Zoe,2014,78400,5,5,6,Eléctrico,88cv,1500,Manual,ACManual,Usados,7700
Tesla,ModelX,2017,60650,5,5,6,Eléctrico,525cv,1968,Automática,ACAutomático,Usados,76890
Ford,EcoSport,2017,95000,5,5,5,Gasolina,125cv,492,Manual,ACManual,Usados,13250
Toyota,AurisTouringSports,2016,74200,5,5,5,Diesel,90cv,400,Manual,ACAutomático,Usados,14990
Renault,MéganeSportTourer,2015,148844,5,5,5,Diesel,110cv,505,Manual,ACManual,Usados,11990
Renault,Scénic,2015,106365,5,5,6,Diesel,110cv,523,Manual,ACManual,Usados,11990
BMW,318,2015,68150,5,5,6,Diesel,143cv,1598,Manual,ACManual,Usados,20990
Renault,Clio,2017,76232,5,5,5,Gasolina,90cv,1991,Automática,ACManual,Usados,10990
Fiat,500C,2013,81818,3,5,6,Gasolina,69cv,1995,Manual,ACManual,Usados,9950
VW,Golf,2014,119989,3,5,6,Diesel,105cv,1500,Manual,ACManual,Usados,13980
SEAT,Leon,2015,129902,5,5,5,Diesel,110cv,1598,Manual,ACManual,Usados,11999
Nissan,Juke,2016,59000,5,5,6,Diesel,110cv,1598,Manual,ACManual,Usados,14980
Peugeot,407SW,2005,229879,5,5,6,Diesel,109cv,1598,Manual,ACManual,Usados,4990
VW,Golf,2015,126355,5,5,5,Diesel,110cv,1496,Manual,ACAutomático,Usados,14380
Nissan,Qashqai,2015,124911,5,5,6,Diesel,110cv,1600,Manual,ACManual,Usados,14850
SEAT,IbizaST,2010,89989,5,5,5,Gasolina,70cv,1461,Manual,ACIndependente,Usados,7500
Renault,MéganeSportTourer,2013,216000,5,5,5,Diesel,110cv,1364,Manual,ACAutomático,Usados,7999
Renault,Clio,2015,98843,5,5,6,Diesel,90cv,1686,Manual,ACIndependente,Usados,12990
Citroën,Saxo,2000,400000,5,5,6,Diesel,68cv,1199,Manual,ACAutomático,Usados,1190
Audi,TT,2008,148980,5,5,6,Gasolina,272cv,2143,Automática,ACAutomático,Usados,23990
Opel,InsigniaSportsTourer,2015,156500,2,2,6,Diesel,170cv,3000,Manual,ACAutomático,Usados,15750
Smart,ForTwo,2010,131686,5,5,6,Diesel,61cv,1600,Manual,ACIndependente,Usados,7990
Nissan,Qashqai,2017,13000,5,5,6,Diesel,110cv,1560,Manual,ACAutomático,Usados,19980
SEAT,Leon,2014,130092,5,5,6,Diesel,105cv,1199,Manual,ACAutomático,Usados,12990
SEAT,Leon,2015,105200,5,4,7,Diesel,110cv,1461,Manual,ACAutomático,Usados,11999
BMW,X6,2010,100252,5,5,5,Diesel,306cv,1000,Manual,ACAutomático,Usados,40000
Peugeot,508SW,2015,67000,5,5,6,Diesel,150cv,1598,Manual,ACAutomático,Usados,19500
SEAT,Leon,2015,149116,5,5,7,Diesel,110cv,1500,Manual,ACManual,Usados,11999
VW,Passat,2018,28000,5,4,6,Híbrido(Gasolina),218cv,1968,Automática,ACAutomático,Usados,31000
Smart,ForFour,2017,24771,5,5,7,Gasolina,71cv,492,Manual,ACManual,Usados,10999
